User_ID,user_diet,preferred_cuisines,monthly_budget_inr,purchase_date,Product_ID,Product_Name,Brand,Category,Subcategory,unit,unit_price_inr,quantity_purchased,discount_applied,total_spent_inr,storage_type,expiration_date,days_to_expiry,quantity_on_hand,reorder_level,reorder_quantity,payment_method,store_type,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,product_diet_tags,recipe_id,recipe_name,recipe_cuisine,recipe_cook_time_min,ingredient_product_ids,ingredient_qtys,recipe_instructions,user_monthly_spend_inr,category_spend_share
U0093,keto,Indian,13100,2024-11-22,P00115,Oats Daily,Tata,grains,oats,kg,74.61,1.36,0.0,74.61,ambient,2025-09-20,302,340,4,1,NetBanking,offline,199.5,4.03,1.87,62.0,3.88,2.04,10.1,"egg-free,gluten-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,276.31,0.27
U0004,"egg-free,vegetarian",Goan,8266,2025-05-06,P00449,Lassi Select,Maggi,beverages,lassi,L,295.33,3.59,0.1,265.8,frozen,2025-12-02,210,1795,7,2,Debit Card,offline,35.2,0.89,0.04,18.92,2.0,3.16,21.9,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,973.9,0.2729
U0038,jain-friendly,"Punjabi,South Indian,Mexican",12931,2024-07-07,P00565,Savories Fresh,Borges,snacks,savories,pcs,84.42,23.0,0.09,1766.91,chilled,2025-09-17,437,23,7,1,Credit Card,offline,67.1,7.17,18.11,75.58,5.62,14.5,663.2,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",R0077,Cutlets Express,Mexican,49,P00020;P00596;P00584,0.29 kg;175 g;208 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,3358.75,0.5261
U0103,lactose-free,"North Indian,Indo-Chinese",12658,2025-05-28,P00306,Cookies Classic,Tata,bakery,cookies,pcs,195.11,16.0,0.1,2809.58,frozen,2025-06-05,8,16,3,1,Cash,online,385.1,7.68,27.56,57.42,5.36,20.47,206.6,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,2930.11,0.9589
U0089,lactose-free,"Gujarati,Hyderabadi",12214,2025-02-21,P00157,Chickpeas Daily,MDH,legumes_pulses,chickpeas,g,161.79,1915.0,0.0,161.79,frozen,2026-08-05,530,478,6,1,Credit Card,online,343.3,8.48,0.2,68.4,9.87,2.99,6.8,"egg-free,gluten-free,jain-friendly,keto,lactose-free,vegan,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,352.38,0.4591
U0024,lactose-free,"Mediterranean,Indo-Chinese,Thai",14121,2024-12-28,P00400,Noodles Daily,Britannia,packaged_food,noodles,g,147.08,310.0,0.03,142.67,frozen,2025-05-28,151,62,9,4,Credit Card,online,407.4,7.03,23.19,58.5,6.62,14.75,452.5,"egg-free,jain-friendly,lactose-free,nut-free,vegan,vegetarian",R0287,Masala Chef's Pick,Rajasthani,52,P00382;P00109;P00412;P00477,0.81 kg;139 g;0.99 L;0.71 L,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,142.67,1.0
U0081,jain-friendly,"Punjabi,Rajasthani",14283,2024-11-03,P00233,Cheese Fresh,Britannia,dairy,cheese,g,369.23,1813.0,0.0,369.23,chilled,2024-11-09,6,453,5,2,UPI,online,202.0,2.65,0.83,6.8,0.0,3.55,89.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,3272.51,0.1128
U0096,"egg-free,vegetarian",Thai,6459,2025-08-22,P00212,Cheese Fresh,Borges,dairy,cheese,g,225.95,773.0,0.13,196.58,frozen,2025-09-03,12,193,4,3,Wallet,offline,121.7,4.03,8.51,4.32,0.0,5.21,11.6,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegetarian",Not Specified,Not Specified,Not Specified,50,Not Specified,Not Specified,Not Specified,196.58,1.0
U0067,gluten-free,South Indian,13866,2025-02-28,P00170,Peas Premium,Nandini,legumes_pulses,peas,kg,68.09,3.24,0.04,65.37,frozen,2026-06-01,458,1620,3,2,NetBanking,offline,288.0,13.56,2.92,53.06,3.36,3.25,9.1,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0139,Salad Fusion,Rajasthani,47,P00587;P00296;P00396;P00555;P00655;P00267;P00281,2 pcs;1 pcs;1 pcs;321 g;184 mL;387 g;230 g,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,7313.54,0.0089
U0098,vegetarian,"Thai,Rajasthani,Hyderabadi",11189,2024-04-05,P00459,Groundnut Oil Family,Tata,oils_ghee,groundnut_oil,mL,392.8,848.0,0.0,392.8,ambient,2025-03-01,330,282,2,1,NetBanking,offline,903.5,0.0,101.3,0.0,0.0,0.0,0.0,"egg-free,gluten-free,jain-friendly,keto,lactose-free,nut-free,vegan,vegetarian",R0248,Upma Homestyle,Punjabi,67,P00703;P00618;P00539;P00156;P00044;P00622,1.49 kg;375 g;467 g;247 g;233 g;0.49 L,Mix ingredients; cook as per recipe; adjust seasoning; serve hot.,392.8,1.0
